,laptops,prices,ratings,votes
82,"Microsoft Surface 2 13.5"" Touchscreen Laptop - Platinum (Intel Core i5/128GB SSD/8GB RAM) - English","$1,300.89",87.6,(16)
83,"ASUS ZenBook Flip 14"" Touchscreen 2-in-1 Laptop - Gold (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",77.6,(17)
84,"Dell G3 15.6"" Gaming Laptop - Black (Intel Core i5-8300H/1TB HDD/8GB RAM/Windows 10)",$950.89,40.0,(6)
85,"HP 17.3"" Laptop - Natural Silver (Intel Core i5-8250U/16GB Optane/1TB HDD/8GB RAM/Windows 10)",$900.89,80.0,(9)
86,"ASUS ZenBook 14"" Laptop - Grey (Intel Core i5-8250U / 256GB SSD / 8GB RAM / Windows 10) - Open Box",$800.89,51.2,(9)
87,"Acer Nitro 5 15.6"" Gaming Laptop-Black/Red (Intel Core i7-7700HQ/1TB HDD/8GB RAM/GTX 1050Ti)-English","$1,100.89",53.4,(3)
88,"HP 14"" Laptop - Natural Silver/Ash Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10) - Only at Best Buy",$900.89,79.2,(23)
89,"ASUS VivoBook X541 15.6"" Laptop - Black (Intel Core i3-6100U/1TB HDD/8GB RAM/Windows 10) - Open Box",$400.89,73.4,(3)
90,"Acer Swift 3 14"" Laptop - Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)",$900.89,53.4,(3)
91,"Acer Aspire 15.6"" Laptop - Black (Intel Core i3-8130U/1TB HDD/8GB RAM/Windows 10)",$650.89,80.0,(2)
92,"Apple MacBook Pro with Touch Bar 13.3"" - Space Grey (Intel Core i5 2.3GHz/256GB/8GB RAM) - English","$2,400.89",97.4,(406)
93,"ASUS ZenBook Flip 14"" Touchscreen 2-in-1 Laptop - Grey (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",75.0,(8)
94,"Acer Spin 5 13.3"" 2-in-1 Laptop - Silver (Intel Core i5-8250U / 256GB SSD/ 8GB RAM / Windows 10)","$1,000.89",79.6,(43)
95,"Google Pixelbook 12.3"" Chromebook - Silver (Intel 7th Gen i5/ 128GB eMMC/ 8GB RAM/Chrome OS)-Eng","$1,300.89",95.4,(229)
96,"Dell Inspiron 13.3"" 2-in-1 Laptop - Grey (Intel Core i5-8250U/1TB HDD/8GB RAM/Windows 10) - Open Box",$750.89,50.0,(4)
97,"Acer Swift 3 14"" Laptop - Silver (Intel Quad Core i5-8250U/256GB SSD/8 GB RAM/Windows 10)",$900.85,75.8,(66)
98,"Microsoft Surface Book 2 13.5"" 2-in-1 Laptop (Intel Core i5-7300U/ 256GB SSD/ 8GB RAM) - English","$1,980.89",96.8,(326)
99,"Dell Inspiron 13.3"" Laptop - Platinum Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)","$1,000.89",62.8,(7)
100,"Dell 15.6"" Laptop - Platinum Silver (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10)",$800.89,80.0,(1)
101,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 256GB SSD / 8GB RAM) - Space Grey - English","$1,980.89",96.4,(2229)
102,"Lenovo IdeaPad 530S 14"" Laptop - Black (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10) - English","$1,000.89",80.0,(2)
103,"HP 15.6"" 2-in-1 Laptop - Dark Ash Silver (AMD Ryzen 5 2500U/1TB HDD/8GB RAM/Windows 10) - Only at Best Buy",$900.89,66.6,(3)
104,"Acer Aspire 17.3"" Laptop - Black (Ci5-8250U/16GB Optane/1TB HDD/8GB RAM/Windows 10)",$900.89,85.0,(4)
105,"Acer Nitro 15.6"" Gaming Laptop (Intel Core i5-7300HQ/256GB SSD/8GB RAM/NVIDIA GTX 1050Ti/Win 10)-Eng","$1,150.89",75.0,(4)
106,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 128GB SSD / 8GB RAM)(2017 Model)-Space Grey-Open Box","$1,630.89",73.4,(6)
107,"ASUS ZenBook Flip 14"" 2-in-1 Laptop (Intel Core i5-8250U/256GB SSD/8GB RAM/Windows 10) - Open Box",$850.89,75.0,(4)
108,"ASUS VivoBook S15 15.6"" Laptop - Grey/Red (Intel Core i5-8250U/256GB SSD/8GB RAM/Win 10) - English",$950.89,96.0,(5)
109,"ASUS VivoBook Pro 15.6"" Gaming Laptop (Intel Core i7/16GB Optane/1TB HDD/8GB RAM/GTX 1050) -Open Box","$1,200.89",20.0,(1)
