,laptops,prices,ratings,votes
64,"Refurbished (Good) - Lenovo ThinkPad L470 14"" Laptop, Intel Core i3-7100U 2.4GHz, 8 GB, 256 GB SSD, 14"" HD (1366 x 768), Windows 10 Pro. -",$199.99,0.0,0
65,"Refurbished (Good) - Dell Latitude 5400 Laptop , 14"" FHD Display, Intel Core i5-8365U, 256GB SSD, 8GB RAM, USB-C, HDMI, Windows 11 Pro",$241.99,0.0,0
66,"Open Box - HP 14"" Laptop - Jet Black (Intel N100/8GB RAM/256GB SSD/Windows 11)",$329.99,0.0,0
67,"Refurbished (Excellent) LENOVO ThinkPad T495S, 14"" FHD, AMD Ryzen 5 Pro 3500U, 8GB, 256GB, 2 Years Warranty, 100948-21399",$269,0.0,0
68,"Refurbished (Good) - Lenovo Thinkpad T450 14"" Screen Laptop, Intel Core i5-5th Gen., 2.3GHz, 8GB RAM, 240GB SSD, Windows 10 Pro",$199.99,0.0,0
69,"HP 14"" Laptop - Jet Black (Intel Processor N100/256GB SSD/8GB RAM/Windows 11 Home)",$250.37,4.31,26
70,"Refurbished (Good) - HP ProBook x360 G6 TOUCH FHD 2 in 1 - 8GB RAM, FAST 128GB M.2 SSD, Intel Quad-Core i5-10210 10th Gen 11.6” - Windows 11",$199.99,0.0,0
71,"Open Box - Microsoft Surface Laptop Go 3 12.45"" Touchscreen Laptop - Platinum (Intel i5-1235U/256GB SSD/8GB RAM)",$919.97,0.0,0
72,"Refurbished (Excellent) Dell Precision 3551 Workstation Laptop | 15.6"" 1366x768 HD | Core i5 - 10300H - 256GB SSD Hard Drive - 8GB RAM - Nvidia Quadro P620 2GB | 4 cores @ 4.5",$329,0.0,0
73,"Acer 15.6″ Touchscreen Laptop with AMD Ryzen 5 7520U, Radeon Graphics, 8GB RAM, 1TB SSD, FHD IPS Display, Wi-Fi 6, Numeric Keypad, Thin Design, Windows 11 Home",$599.99,0.0,0
74,"Refurbished (Excellent) - Lenovo Thinkpad T560 15"" Laptop, Core i7-6600U, 8 GB RAM, 256 GB SSD, Win 11 Pro",$289.98,0.0,0
75,"Refurbished (Excellent) Microsoft Surface Laptop 5 - Intel Core i5-1235U/8GB LPDDR5x/256GB SSD/Windows 11 Home/13.5"" Screen - Platinum",$679.99,0.0,0
76,"HP 14"" Laptop, Intel Processor N150, 8GB Memory 128GB UFS, Microsoft Copilot, Windows 11 Home in S Mode, Wi-Fi 6, Lightweight, Bluetooth, HDMI, Blue",$339.99,0.0,0
77,"Open Box - ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/512GB SSD/Windows 11)",$379.97,5.0,1
78,"HP Stream 14"" HD BrightView Laptop, Intel Celeron N4120, 8GB RAM, 128GB eMMC, Intel UHD Graphics, HD Camera, Fast Charge, 1 Year Office 365, Win 11 S, Gold, 128GB Docking Station S",$409,0.0,0
79,"Refurbished (Good) - Dell Latitude 5420 Intel i5-1145G7 / 8 GB RAM / 256 GB SSD / 14""FHD (1920 x 1080) Windows 11 Pro - Eng",$298,0.0,0
80,"Refurbished (Excellent) Lenovo ThinkBook 15 G2 ITL Laptop | 15.6"" 1920x1080 FHD | Core i5-1135G7 - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.2 GHz Win 11 Pro Silver",$389,0.0,0
81,"HP 14"" Laptop, Intel Processor N150, 8GB Memory 128GB UFS, Microsoft Copilot, Windows 11 Home in S Mode, Wi-Fi 6, Lightweight, Bluetooth, HDMI, Pink",$349.99,0.0,0
82,"Refurbished (Excellent) - Microsoft Surface Laptop 5 Touchscreen 13.5"" - Sandstone (Intel Evo i5-1235U/512GB SSD/8GB RAM) - En",$869.97,0.0,0
83,"HP 14"" Laptop, Intel Processor N150, 8GB Memory 128GB UFS, Microsoft Copilot, Windows 11 Home in S Mode, Wi-Fi 6, Lightweight, Honey Lavender",$339.99,0.0,0
84,"Refurbished (Excellent) - Dell Latitude 7000 7310 Laptop (2020) | 13"" FHD | Core i5 - 256GB SSD - 8GB RAM | 4 Cores @ 4.4 GHz - 10th Gen CPU Certified Refurbished",$299.98,0.0,0
85,"HP 14"" Laptop, Intel Processor N150, 8GB Memory 128GB UFS, Microsoft Copilot, Windows 11 Home in S Mode, Wi-Fi 6, Lightweight, Bluetooth, HDMI, Green",$329.99,0.0,0
86,"Acer Aspire 3 14 2024 Laptop, 8-Core Intel Core i3-N305, 14"" FHD Display, Intel UHD Graphics, 8GB LPDDR5 256GB SSD, Wi-Fi 6, Win11 Home",$460.91,0.0,0
87,Lenovo ThinkPad T480s 16GB RAM 256 SSD M.2 Intel i5 8350u Quad 8th Gen 1080p Res - Refurbished Good,$328.7,0.0,0
88,"Refurbished (Excellent) Dell Latitude 7400 Laptop | 14"" 1920x1080 FHD | Core i5 - 8365U - 256GB SSD Hard Drive - 8GB RAM | 4 cores @ 4.1 GHz Win 11 Pro Black",$278.99,0.0,0
89,Refurbished (Good) - Lenovo T460s Intel core i5 Laptop with 8gb RAM 256 gb SSD W10 PRO,$219,0.0,0
90,"Refurbished (Excellent) - Dell Latitude 7320, Business Laptop, Intel Core i5-1145G7, 8GB RAM 256GB SSD, 13in FHD, Wi-Fi 6, Windows 11 Pro",$329,0.0,0
91,"Refurbished (Good) - Dell Latitude 7200 2-in-1 12.3"" Touch Laptop, Intel Core i5-8th Gen. 1.6GHz, 8GB RAM, 256GB SSD, Windows 11 Pro.",$299.99,0.0,0
92,"Refurbished (Good) - Dell Latitude 7000 7300 Laptop (2019) | 13.3"" FHD | Core i5 - 256GB SSD - 8GB RAM | 4 Cores @ 3.9 GHz",$219.89,0.0,0
93,"Refurbished (Excellent) - HP ProBook x360 G6 TOUCH 2 in 1- 8GB RAM, FAST 256GB M.2 SSD, Intel Quad-Core i5-10210 10th Gen 11.6” - Windows 11",$229.99,0.0,0
94,"Lenovo ThinkPad T480s 14"" Ultrabook, Intel Core i5-8350U, 8GB RAM, 256GB SSD, Windows 11 Pro, Business & School Laptop, Refurbished (Good)",$279.68,0.0,0
95,"Refurbished (Excellent) - Acer Aspire 3 15.6"" Laptop - Silver (Intel Core i3-1215U/512GB SSD/8GB RAM/Windows 11)",$359.97,5.0,1
96,"ASUS Vivobook Go 15 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/256GB SSD/Windows 11)",$350.37,4.43,7
97,"Refurbished (Excellent) Lenovo x280 12.5"" Touchscreen Ultrabook | 1920x1080 FHD | SUPER FAST 128GB SSD | Fingerprint Scanner | Intel Quad Core i5 | 8GB RAM",$299.99,0.0,0
98,"Refurbished (Excellent) - Microsoft Surface Laptop Go 3 12.45"" Touchscreen Laptop - Ice Blue (Intel i5-1235U/256GB SSD/8GB RAM)",$884.97,5.0,1
99,"Refurbished (Excellent) - HP 14"" Laptop - Jet Black (Intel N100/8GB RAM/256GB SSD/Windows 11)",$309.99,0.0,0
100,Refurbished (Good) HP ProBook 650 G5 15.6” Intel Core i5-8365U 1.60GHz/8GB/256GB NVMe/Windows 10 Pro(Business Laptop),$415.89,0.0,0
101,"OpenBox, HP 15"" Full HD, 8GB RAM, Intel UHD Graphics, 256GB - 128GB eMMC + 128GB USB, Windows 11 Office 365 New Copilot AI & Social Media Functions Integration Backpack Included",$449.99,0.0,0
102,"Open Box - ASUS Vivobook Go 15.6"" Laptop - Mixed Black (Intel Core i3-N305/8GB RAM/256GB SSD/Windows 11)",$404.91,0.0,0
103,"Refurbished (Excellent) Lenovo Thinkpad X280, 12.5"" TOUCHSCREEN 1080p FHD, Fast Intel Quad-Core i5, 8GB RAM, Highspeed 256GB SSD, Webcam & Mic, Backlit Keys, Fingerprint Scanner",$299.99,0.0,0
104,"Refurbished (Good) - Lenovo Thinkpad T480s 14"" (i5-8250U @ 1.60GHz | 8GB RAM | 256GB SSD | Windows 10 Pro)",$259.7,5.0,1
105,"Refurbished (Excellent) - Microsoft Surface Laptop 5 13.5"" i5-12th / 8GB / 512GB - Platinum",$689.99,0.0,0
