,laptops,prices,ratings,votes
78,"Apple MacBook 12"" Laptop w/ Retina (Intel Core m3 1.2GHz / 256GB SSD / 8GB RAM) - Rose Gold - Eng","$1,730.89",95.4,(56)
79,"HP OMEN 15.6"" Gaming Laptop - Black (Intel Core i7-7700HQ/1TB HDD/128GB SSD/8GB RAM/Windows 10)","$1,600.89",93.4,(3)
80,"Lenovo ThinkPad T450, 14"" 1600x900, 8GB Ram, 256GB SSD, Backlit Keyboard, Win 7/10 Pro, 3 Year Warranty",$900.89,54.6,(11)
81,"ASUS ZenBook 14"" Laptop - Quartz Grey (Intel Core i3-7100U/ 128GB SSD/ 8GB RAM/ Win10)",$800.89,100.0,(1)
82,"Dell Inspiron 7000 13.3"" Touch Laptop - Grey (Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10)-Open Box",$800.89,84.0,(5)
83,"Dell 15.6"" Inspiron Touchscreen Laptop - Black (Intel Core i3-7100U/1TB HDD/8GB RAM/Win 10)-Open Box",$550.89,20.0,(1)
84,"Microsoft Surface Laptop 13.5"" - Platinum (Intel Core i5-7200U/256GB SSD/8GB RAM/Win 10 S) - English","$1,650.89",94.8,(87)
85,"Microsoft Surface Book 2 13.5"" 2-in-1 Laptop (Intel Core i5-7300U/ 256GB SSD/ 8GB RAM) - English","$1,980.89",95.8,(28)
86,"Acer Aspire E 15.6"" Laptop - Obsidian Black (Intel Core i3-7100U /1TB HDD /8GB RAM /Windows 10)",$500.89,70.0,(6)
87,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 256GB SSD / 8GB RAM) - Space Grey - English","$1,980.89",96.2,(849)
88,"Toshiba Tecra R950, Intel i7, 8GB RAM, 128GB SSD, 1 GB Radeon Graphics, Windows 10, 1 Year Warranty, REFURBISHED",$569.99,100.0,(1)
89,"Dell Inspiron 13.3"" 2-in-1 Laptop - Grey (Intel Core i5-8250U / 1TB HDD / 8GB RAM / Windows 10)",$900.89,72.8,(11)
90,"ASUS X555QA 15.6"" Laptop - Black/Silver (AMD A10-9620P / 1TB HDD / 8GB RAM / Windows 10)",$500.87,45.4,(33)
91,"HP Spectre 13.3"" Laptop - White (Intel Core i7-8550U/256GB SSD/8GB RAM/Windows 10)","$1,800.89",80.0,(4)
92,"Acer Aspire 5 15.6"" Laptop - Black (AMD A12-9720 / 1TB HDD / 8GB RAM / Windows 10)",$600.89,46.6,(3)
93,"Acer Aspire E 15.6"" Laptop - Black (Intel i5-7200U/256 SSD/8GB RAM/NVIDIA 940MX/Windows 10)",$800.85,86.4,(50)
94,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 128GB SSD / 8GB RAM) - Space Grey - Open Box","$1,630.89",60.0,(2)
95,"Dell i3552 15.6"" Laptop (Intel Pentium Processor N3710/1TB HDD/8GB DDR3 RAM/Windows 10) - Open Box",$400.89,64.0,(10)
96,"ASUS ZenBook Flip UX360UA 13.3"" Touchscreen Laptop (i5-7200U/256GB SSD/8GB DDR3 RAM) - Open Box",$850.89,50.0,(2)
97,"Acer Aspire E 15.6"" Laptop - Black (Intel i5-7200U/1TB HDD/8GB RAM/Windows 10) - Open Box",$550.89,100.0,(1)
98,"ASUS VivoBook X541UA Slim 15.6"" Laptop - Chocolate Black/Gold (Intel Core i5-7200U/1TB HDD/8GB RAM)",$800.89,44.6,(22)
99,"ASUS VivoBook X541 15.6"" Laptop - Black (Intel Core i5-7200U/ 1TB HDD/ 8GB RAM/ Win 10) - Bilingual",$600.85,48.6,(46)
100,"Apple MacBook Pro 13.3"" Laptop (Intel Core i5 2.3GHz / 128GB SSD / 8GB RAM) - Silver - English","$1,730.89",96.0,(365)
101,"Dell 15.6"" Gaming Laptop - Black (Intel Core i7-7700HQ / 1TB HDD / 8GB RAM / Windows 10) - Open Box","$1,200.89",95.0,(4)
102,"HP Pavilion x360 15.6"" Touchscreen 2-in-1 Laptop - Silk Gold (Intel Pentium 4415U/1TB HDD/8GB RAM)",$800.89,100.0,(1)
103,"Acer Aspire E 15.6"" Touchscreen Laptop - (Intel Core i5-7200U/1TB HDD/8GB RAM/Win 10) - Open Box",$600.89,60.0,(3)
104,"ASUS 15.6"" Laptop - Black/Gold (Intel Core i5-5200U/1TB HDD/8GB RAM/Windows 10) - Open Box",$650.89,30.8,(13)
